Var2,Var3
18/08/2021 12:30:00,35.431
18/08/2021 12:45:00,32.802
18/08/2021 13:00:00,33.347
18/08/2021 13:15:00,33.504
18/08/2021 13:30:00,33.739
18/08/2021 13:45:00,34.027
18/08/2021 14:00:00,33.608
18/08/2021 14:15:00,33.974
18/08/2021 14:30:00,35.404
18/08/2021 14:45:00,34.607
18/08/2021 15:00:00,34.659
18/08/2021 15:15:00,34.765
18/08/2021 15:30:00,35.19
18/08/2021 15:45:00,34.659
18/08/2021 16:00:00,33.634
18/08/2021 16:15:00,34.739
18/08/2021 16:30:00,33.087
18/08/2021 16:45:00,33.373
18/08/2021 17:00:00,33.321
18/08/2021 17:15:00,32.157
18/08/2021 17:30:00,31.415
18/08/2021 17:45:00,30.805
18/08/2021 18:00:00,30.098
18/08/2021 18:15:00,29.546
18/08/2021 18:30:00,29.121
18/08/2021 18:45:00,28.599
18/08/2021 19:00:00,28.252
18/08/2021 19:15:00,27.609
18/08/2021 19:30:00,25.92
18/08/2021 19:45:00,24.779
18/08/2021 20:00:00,23.333
18/08/2021 20:15:00,22.182
18/08/2021 20:30:00,21.226
18/08/2021 20:45:00,20.44
18/08/2021 21:00:00,19.606
18/08/2021 21:15:00,19.012
18/08/2021 21:30:00,18.655
18/08/2021 21:45:00,18.488
18/08/2021 22:00:00,18.132
18/08/2021 22:15:00,17.775
18/08/2021 22:30:00,17.704
18/08/2021 22:45:00,17.513
18/08/2021 23:00:00,17.252
18/08/2021 23:15:00,17.014
18/08/2021 23:30:00,16.656
18/08/2021 23:45:00,16.514
19/08/2021 00:00:00,16.228
19/08/2021 00:15:00,16.108
19/08/2021 00:30:00,15.989
19/08/2021 00:45:00,15.918
19/08/2021 01:00:00,15.775
19/08/2021 01:15:00,15.631
19/08/2021 01:30:00,15.56
19/08/2021 01:45:00,15.297
19/08/2021 02:00:00,15.321
19/08/2021 02:15:00,15.249
19/08/2021 02:30:00,14.986
19/08/2021 02:45:00,14.843
19/08/2021 03:00:00,14.723
19/08/2021 03:15:00,14.628
19/08/2021 03:30:00,14.556
19/08/2021 03:45:00,14.604
19/08/2021 04:00:00,14.484
19/08/2021 04:15:00,14.388
19/08/2021 04:30:00,14.364
19/08/2021 04:45:00,14.388
19/08/2021 05:00:00,14.412
19/08/2021 05:15:00,14.436
19/08/2021 05:30:00,14.388
19/08/2021 05:45:00,14.364
19/08/2021 06:00:00,14.22
19/08/2021 06:15:00,14.148
19/08/2021 06:30:00,14.125
19/08/2021 06:45:00,14.364
19/08/2021 07:00:00,14.867
19/08/2021 07:15:00,15.846
19/08/2021 07:30:00,17.133
19/08/2021 07:45:00,18.798
19/08/2021 08:00:00,20.225
19/08/2021 08:15:00,22.397
19/08/2021 08:30:00,25.385
19/08/2021 08:45:00,27.98
19/08/2021 09:00:00,29.922
19/08/2021 09:15:00,30.401
19/08/2021 09:30:00,31.059
19/08/2021 09:45:00,31.059
19/08/2021 10:00:00,32.234
19/08/2021 10:15:00,32.673
19/08/2021 10:30:00,32.647
19/08/2021 10:45:00,32.957
19/08/2021 11:00:00,33.269
19/08/2021 11:15:00,32.75
19/08/2021 11:30:00,32.08
19/08/2021 11:45:00,31.978
19/08/2021 12:00:00,32.957
19/08/2021 12:15:00,34.158
19/08/2021 12:30:00,33.87
19/08/2021 12:45:00,34.845
19/08/2021 13:00:00,34.527
19/08/2021 13:15:00,33.843
19/08/2021 13:30:00,35.217
19/08/2021 13:45:00,35.832
19/08/2021 14:00:00,34.978
19/08/2021 14:15:00,35.859
19/08/2021 14:30:00,35.832
19/08/2021 14:45:00,36.345
19/08/2021 15:00:00,36.806
19/08/2021 15:15:00,34.501
19/08/2021 15:30:00,36.291
19/08/2021 15:45:00,34.978
19/08/2021 16:00:00,34.343
19/08/2021 16:15:00,34.659
19/08/2021 16:30:00,34.474
19/08/2021 16:45:00,34.132
19/08/2021 17:00:00,33.922
19/08/2021 17:15:00,32.569
19/08/2021 17:30:00,32.26
19/08/2021 17:45:00,31.67
19/08/2021 18:00:00,31.084
19/08/2021 18:15:00,30.451
19/08/2021 18:30:00,30.3
19/08/2021 18:45:00,29.947
19/08/2021 19:00:00,29.471
19/08/2021 19:15:00,28.499
19/08/2021 19:30:00,27.019
19/08/2021 19:45:00,25.603
19/08/2021 20:00:00,23.717
19/08/2021 20:15:00,22.397
19/08/2021 20:30:00,21.489
19/08/2021 20:45:00,20.773
19/08/2021 21:00:00,20.463
19/08/2021 21:15:00,20.011
19/08/2021 21:30:00,20.249
19/08/2021 21:45:00,20.63
19/08/2021 22:00:00,20.154
19/08/2021 22:15:00,19.702
19/08/2021 22:30:00,18.869
19/08/2021 22:45:00,18.441
19/08/2021 23:00:00,18.251
19/08/2021 23:15:00,17.918
