Var2,Var4
26/08/2021 10:00:00,29.737
26/08/2021 10:15:00,28.297
26/08/2021 10:30:00,26.373
26/08/2021 10:45:00,25.601
26/08/2021 11:00:00,26.417
26/08/2021 11:15:00,26.324
26/08/2021 11:30:00,28.034
26/08/2021 11:45:00,27.824
26/08/2021 12:00:00,28.614
26/08/2021 12:15:00,31.368
26/08/2021 12:30:00,31.65
26/08/2021 12:45:00,32.638
26/08/2021 13:00:00,30.059
26/08/2021 13:15:00,30.782
26/08/2021 13:30:00,28.846
26/08/2021 13:45:00,29.476
26/08/2021 14:00:00,29.917
26/08/2021 14:15:00,29.847
26/08/2021 14:30:00,29.563
26/08/2021 14:45:00,29.842
26/08/2021 15:00:00,29.194
26/08/2021 15:15:00,29.964
26/08/2021 15:30:00,30.103
26/08/2021 15:45:00,30.49
26/08/2021 16:00:00,31.139
26/08/2021 16:15:00,31.082
26/08/2021 16:30:00,30.912
26/08/2021 16:45:00,31.817
26/08/2021 17:00:00,31.812
26/08/2021 17:15:00,32.057
26/08/2021 17:30:00,32.264
26/08/2021 17:45:00,31.924
26/08/2021 18:00:00,30.474
26/08/2021 18:15:00,29.864
26/08/2021 18:30:00,28.137
26/08/2021 18:45:00,27.464
26/08/2021 19:00:00,26.676
26/08/2021 19:15:00,25.922
26/08/2021 19:30:00,24.85
26/08/2021 19:45:00,23.896
26/08/2021 20:00:00,22.892
26/08/2021 20:15:00,22.069
26/08/2021 20:30:00,21.633
26/08/2021 20:45:00,21.415
26/08/2021 21:00:00,21.525
26/08/2021 21:15:00,21.381
26/08/2021 21:30:00,21.078
26/08/2021 21:45:00,20.947
26/08/2021 22:00:00,21.467
26/08/2021 22:15:00,22.242
26/08/2021 22:30:00,22.318
26/08/2021 22:45:00,22.306
26/08/2021 23:00:00,22.147
26/08/2021 23:15:00,21.999
26/08/2021 23:30:00,21.884
26/08/2021 23:45:00,21.849
27/08/2021 00:00:00,21.646
27/08/2021 00:15:00,21.645
27/08/2021 00:30:00,21.706
27/08/2021 00:45:00,21.494
27/08/2021 01:00:00,21.391
27/08/2021 01:15:00,20.954
27/08/2021 01:30:00,21.009
27/08/2021 01:45:00,21.036
27/08/2021 02:00:00,20.676
27/08/2021 02:15:00,20.434
27/08/2021 02:30:00,20.418
27/08/2021 02:45:00,20.646
27/08/2021 03:00:00,20.543
27/08/2021 03:15:00,20.643
27/08/2021 03:30:00,20.647
27/08/2021 03:45:00,20.19
27/08/2021 04:00:00,19.866
27/08/2021 04:15:00,19.744
27/08/2021 04:30:00,19.527
27/08/2021 04:45:00,19.199
27/08/2021 05:00:00,18.924
27/08/2021 05:15:00,18.776
27/08/2021 05:30:00,18.617
27/08/2021 05:45:00,18.38
27/08/2021 06:00:00,18.164
27/08/2021 06:15:00,18.093
27/08/2021 06:30:00,18.206
27/08/2021 06:45:00,18.238
27/08/2021 07:00:00,18.071
27/08/2021 07:15:00,17.901
27/08/2021 07:30:00,17.813
27/08/2021 07:45:00,17.812
27/08/2021 08:00:00,17.604
27/08/2021 08:15:00,17.651
27/08/2021 08:30:00,17.665
27/08/2021 08:45:00,17.807
27/08/2021 09:00:00,17.458
27/08/2021 09:15:00,17.152
27/08/2021 09:30:00,16.72
27/08/2021 09:45:00,16.845
27/08/2021 10:00:00,16.778
27/08/2021 10:15:00,16.63
27/08/2021 10:30:00,17.034
27/08/2021 10:45:00,17.204
27/08/2021 11:00:00,17.485
27/08/2021 11:15:00,18.501
27/08/2021 11:30:00,17.764
27/08/2021 11:45:00,18.501
27/08/2021 12:00:00,20.787
27/08/2021 12:15:00,20.083
27/08/2021 12:30:00,20.68
27/08/2021 12:45:00,21.395
27/08/2021 13:00:00,22.321
27/08/2021 13:15:00,22.839
27/08/2021 13:30:00,21.798
27/08/2021 13:45:00,23.754
