timestamps,Var3
26/08/2021 10:00:00,23.899
26/08/2021 10:15:00,24.82
26/08/2021 10:30:00,25.025
26/08/2021 10:45:00,24.382
26/08/2021 11:00:00,24.816
26/08/2021 11:15:00,25.148
26/08/2021 11:30:00,26.021
26/08/2021 11:45:00,26.172
26/08/2021 12:00:00,26.767
26/08/2021 12:15:00,28.464
26/08/2021 12:30:00,28.133
26/08/2021 12:45:00,28.106
26/08/2021 13:00:00,28.562
26/08/2021 13:15:00,29.209
26/08/2021 13:30:00,28.366
26/08/2021 13:45:00,28.419
26/08/2021 14:00:00,28.762
26/08/2021 14:15:00,28.855
26/08/2021 14:30:00,28.942
26/08/2021 14:45:00,29.397
26/08/2021 15:00:00,28.546
26/08/2021 15:15:00,29.287
26/08/2021 15:30:00,29.429
26/08/2021 15:45:00,29.715
26/08/2021 16:00:00,30.328
26/08/2021 16:15:00,30.395
26/08/2021 16:30:00,30.206
26/08/2021 16:45:00,30.024
26/08/2021 17:00:00,29.638
26/08/2021 17:15:00,30.021
26/08/2021 17:30:00,29.634
26/08/2021 17:45:00,29.221
26/08/2021 18:00:00,28.608
26/08/2021 18:15:00,28.363
26/08/2021 18:30:00,27.715
26/08/2021 18:45:00,27.318
26/08/2021 19:00:00,26.538
26/08/2021 19:15:00,25.952
26/08/2021 19:30:00,24.82
26/08/2021 19:45:00,23.914
26/08/2021 20:00:00,23.103
26/08/2021 20:15:00,22.136
26/08/2021 20:30:00,21.57
26/08/2021 20:45:00,21.397
26/08/2021 21:00:00,21.409
26/08/2021 21:15:00,21.221
26/08/2021 21:30:00,20.865
26/08/2021 21:45:00,20.834
26/08/2021 22:00:00,21.212
26/08/2021 22:15:00,22.28
26/08/2021 22:30:00,22.36
26/08/2021 22:45:00,22.299
26/08/2021 23:00:00,22.091
26/08/2021 23:15:00,22.012
26/08/2021 23:30:00,21.839
26/08/2021 23:45:00,21.869
27/08/2021 00:00:00,21.707
27/08/2021 00:15:00,21.67
27/08/2021 00:30:00,21.691
27/08/2021 00:45:00,21.601
27/08/2021 01:00:00,21.369
27/08/2021 01:15:00,20.983
27/08/2021 01:30:00,21.0
27/08/2021 01:45:00,21.047
27/08/2021 02:00:00,20.722
27/08/2021 02:15:00,20.573
27/08/2021 02:30:00,20.479
27/08/2021 02:45:00,20.674
27/08/2021 03:00:00,20.461
27/08/2021 03:15:00,20.708
27/08/2021 03:30:00,20.688
27/08/2021 03:45:00,20.201
27/08/2021 04:00:00,19.836
27/08/2021 04:15:00,19.741
27/08/2021 04:30:00,19.462
27/08/2021 04:45:00,19.157
27/08/2021 05:00:00,18.87
27/08/2021 05:15:00,18.739
27/08/2021 05:30:00,18.565
27/08/2021 05:45:00,18.36
27/08/2021 06:00:00,18.149
27/08/2021 06:15:00,18.091
27/08/2021 06:30:00,18.173
27/08/2021 06:45:00,18.21
27/08/2021 07:00:00,18.033
27/08/2021 07:15:00,17.883
27/08/2021 07:30:00,17.73
27/08/2021 07:45:00,17.729
27/08/2021 08:00:00,17.642
27/08/2021 08:15:00,17.626
27/08/2021 08:30:00,17.632
27/08/2021 08:45:00,17.715
27/08/2021 09:00:00,17.418
27/08/2021 09:15:00,17.126
27/08/2021 09:30:00,16.67
27/08/2021 09:45:00,16.698
27/08/2021 10:00:00,16.545
27/08/2021 10:15:00,16.348
27/08/2021 10:30:00,16.725
27/08/2021 10:45:00,16.984
27/08/2021 11:00:00,17.152
27/08/2021 11:15:00,17.974
27/08/2021 11:30:00,17.567
27/08/2021 11:45:00,18.157
27/08/2021 12:00:00,19.869
27/08/2021 12:15:00,19.243
27/08/2021 12:30:00,19.97
27/08/2021 12:45:00,20.53
27/08/2021 13:00:00,21.149
27/08/2021 13:15:00,21.751
27/08/2021 13:30:00,20.783
27/08/2021 13:45:00,22.455
27/08/2021 14:00:00,23.608
27/08/2021 14:15:00,22.751
27/08/2021 14:30:00,23.515
27/08/2021 14:45:00,24.005
27/08/2021 15:00:00,22.853
27/08/2021 15:15:00,23.924
27/08/2021 15:30:00,24.41
27/08/2021 15:45:00,24.481
27/08/2021 16:00:00,23.913
27/08/2021 16:15:00,24.174
27/08/2021 16:30:00,25.09
27/08/2021 16:45:00,25.213
27/08/2021 17:00:00,21.936
27/08/2021 17:15:00,24.95
27/08/2021 17:30:00,23.506
27/08/2021 17:45:00,22.646
27/08/2021 18:00:00,23.978
27/08/2021 18:15:00,22.197
27/08/2021 18:30:00,22.006
27/08/2021 18:45:00,21.354
27/08/2021 19:00:00,21.563
27/08/2021 19:15:00,21.324
27/08/2021 19:30:00,20.485
27/08/2021 19:45:00,19.529
27/08/2021 20:00:00,18.717
27/08/2021 20:15:00,18.194
27/08/2021 20:30:00,18.197
27/08/2021 20:45:00,18.249
27/08/2021 21:00:00,17.635
27/08/2021 21:15:00,17.247
27/08/2021 21:30:00,16.705
27/08/2021 21:45:00,16.435
27/08/2021 22:00:00,16.049
27/08/2021 22:15:00,15.766
27/08/2021 22:30:00,15.895
27/08/2021 22:45:00,15.624
27/08/2021 23:00:00,15.49
27/08/2021 23:15:00,15.317
27/08/2021 23:30:00,15.418
27/08/2021 23:45:00,15.382
28/08/2021 00:00:00,15.279
28/08/2021 00:15:00,15.47
28/08/2021 00:30:00,15.549
28/08/2021 00:45:00,15.597
28/08/2021 01:00:00,15.546
28/08/2021 01:15:00,15.648
