timestamps,Var6
28/08/2021 03:00:00,15.003
28/08/2021 03:15:00,15.113
28/08/2021 03:30:00,15.406
28/08/2021 03:45:00,15.108
28/08/2021 04:00:00,15.545
28/08/2021 04:15:00,15.563
28/08/2021 04:30:00,15.605
28/08/2021 04:45:00,15.706
28/08/2021 05:00:00,15.599
28/08/2021 05:15:00,15.716
28/08/2021 05:30:00,15.737
28/08/2021 05:45:00,15.778
28/08/2021 06:00:00,15.885
28/08/2021 06:15:00,15.883
28/08/2021 06:30:00,16.032
28/08/2021 06:45:00,16.076
28/08/2021 07:00:00,15.959
28/08/2021 07:15:00,15.877
28/08/2021 07:30:00,15.877
28/08/2021 07:45:00,15.964
28/08/2021 08:00:00,16.332
28/08/2021 08:15:00,16.181
28/08/2021 08:30:00,15.883
28/08/2021 08:45:00,15.986
28/08/2021 09:00:00,17.005
28/08/2021 09:15:00,17.546
28/08/2021 09:30:00,17.339
28/08/2021 09:45:00,17.463
28/08/2021 10:00:00,17.463
28/08/2021 10:15:00,19.056
28/08/2021 10:30:00,29.886
28/08/2021 10:45:00,25.312
28/08/2021 11:00:00,28.035
28/08/2021 11:15:00,25.58
28/08/2021 11:30:00,28.363
28/08/2021 11:45:00,27.497
28/08/2021 12:00:00,27.861
28/08/2021 12:15:00,28.707
28/08/2021 12:30:00,28.386
28/08/2021 12:45:00,28.902
28/08/2021 13:00:00,29.26
28/08/2021 13:15:00,27.0
28/08/2021 13:30:00,26.96
28/08/2021 13:45:00,27.731
28/08/2021 14:00:00,27.29
28/08/2021 14:15:00,27.278
28/08/2021 14:30:00,27.539
28/08/2021 14:45:00,27.802
28/08/2021 15:00:00,28.199
28/08/2021 15:15:00,27.143
28/08/2021 15:30:00,28.114
28/08/2021 15:45:00,28.796
28/08/2021 16:00:00,27.524
28/08/2021 16:15:00,28.369
28/08/2021 16:30:00,25.805
28/08/2021 16:45:00,26.682
28/08/2021 17:00:00,27.362
28/08/2021 17:15:00,26.278
28/08/2021 17:30:00,26.074
28/08/2021 17:45:00,25.538
28/08/2021 18:00:00,25.105
28/08/2021 18:15:00,24.696
28/08/2021 18:30:00,23.794
28/08/2021 18:45:00,23.216
28/08/2021 19:00:00,22.363
28/08/2021 19:15:00,21.564
28/08/2021 19:30:00,20.619
28/08/2021 19:45:00,19.332
28/08/2021 20:00:00,18.192
28/08/2021 20:15:00,17.708
28/08/2021 20:30:00,17.471
28/08/2021 20:45:00,16.783
28/08/2021 21:00:00,16.732
28/08/2021 21:15:00,17.152
28/08/2021 21:30:00,17.248
28/08/2021 21:45:00,17.616
28/08/2021 22:00:00,18.506
28/08/2021 22:15:00,18.536
28/08/2021 22:30:00,17.748
28/08/2021 22:45:00,17.363
