timestamps,Var3
18/08/2021 12:15:00,37.435
18/08/2021 12:30:00,30.932
18/08/2021 12:45:00,30.729
18/08/2021 13:00:00,31.517
18/08/2021 13:15:00,32.08
18/08/2021 13:30:00,31.645
18/08/2021 13:45:00,32.569
18/08/2021 14:00:00,32.802
18/08/2021 14:15:00,33.87
18/08/2021 14:30:00,33.243
18/08/2021 14:45:00,33.66
18/08/2021 15:00:00,32.983
18/08/2021 15:15:00,33.712
18/08/2021 15:30:00,33.009
18/08/2021 15:45:00,32.415
18/08/2021 16:00:00,33.217
18/08/2021 16:15:00,32.234
18/08/2021 16:30:00,31.926
18/08/2021 16:45:00,32.132
18/08/2021 17:00:00,31.415
18/08/2021 17:15:00,31.11
18/08/2021 17:30:00,30.932
18/08/2021 17:45:00,30.881
18/08/2021 18:00:00,30.098
18/08/2021 18:15:00,29.496
18/08/2021 18:30:00,29.471
18/08/2021 18:45:00,29.171
18/08/2021 19:00:00,28.425
18/08/2021 19:15:00,26.75
18/08/2021 19:30:00,25.045
18/08/2021 19:45:00,23.742
18/08/2021 20:00:00,22.685
18/08/2021 20:15:00,21.656
18/08/2021 20:30:00,20.702
18/08/2021 20:45:00,19.63
18/08/2021 21:00:00,18.988
18/08/2021 21:15:00,18.584
18/08/2021 21:30:00,18.274
18/08/2021 21:45:00,18.06
18/08/2021 22:00:00,17.561
18/08/2021 22:15:00,17.466
18/08/2021 22:30:00,17.299
18/08/2021 22:45:00,17.085
18/08/2021 23:00:00,16.775
18/08/2021 23:15:00,16.418
18/08/2021 23:30:00,16.251
18/08/2021 23:45:00,15.942
19/08/2021 00:00:00,15.751
19/08/2021 00:15:00,15.56
19/08/2021 00:30:00,15.417
19/08/2021 00:45:00,15.321
19/08/2021 01:00:00,15.297
19/08/2021 01:15:00,15.178
19/08/2021 01:30:00,15.01
19/08/2021 01:45:00,14.867
19/08/2021 02:00:00,14.723
19/08/2021 02:15:00,14.58
19/08/2021 02:30:00,14.556
19/08/2021 02:45:00,14.532
19/08/2021 03:00:00,14.364
19/08/2021 03:15:00,14.316
19/08/2021 03:30:00,14.268
19/08/2021 03:45:00,14.196
19/08/2021 04:00:00,14.029
19/08/2021 04:15:00,14.148
19/08/2021 04:30:00,14.148
19/08/2021 04:45:00,14.172
19/08/2021 05:00:00,14.34
19/08/2021 05:15:00,14.172
19/08/2021 05:30:00,14.148
19/08/2021 05:45:00,13.861
19/08/2021 06:00:00,13.909
19/08/2021 06:15:00,13.885
19/08/2021 06:30:00,14.077
19/08/2021 06:45:00,14.364
19/08/2021 07:00:00,15.273
19/08/2021 07:15:00,16.49
19/08/2021 07:30:00,18.108
19/08/2021 07:45:00,19.416
19/08/2021 08:00:00,21.752
19/08/2021 08:15:00,27.388
19/08/2021 08:30:00,27.856
19/08/2021 08:45:00,27.069
19/08/2021 09:00:00,26.603
19/08/2021 09:15:00,26.725
19/08/2021 09:30:00,26.995
19/08/2021 09:45:00,27.437
19/08/2021 10:00:00,28.078
19/08/2021 10:15:00,28.748
19/08/2021 10:30:00,28.4
19/08/2021 10:45:00,28.574
19/08/2021 11:00:00,29.922
19/08/2021 11:15:00,29.546
19/08/2021 11:30:00,30.275
19/08/2021 11:45:00,30.577
19/08/2021 12:00:00,31.875
19/08/2021 12:15:00,31.875
19/08/2021 12:30:00,32.363
19/08/2021 12:45:00,31.926
19/08/2021 13:00:00,31.568
19/08/2021 13:15:00,32.621
19/08/2021 13:30:00,33.948
19/08/2021 13:45:00,33.686
19/08/2021 14:00:00,34.001
19/08/2021 14:15:00,34.765
19/08/2021 14:30:00,34.845
19/08/2021 14:45:00,35.297
19/08/2021 15:00:00,33.347
19/08/2021 15:15:00,33.791
19/08/2021 15:30:00,33.608
19/08/2021 15:45:00,33.191
19/08/2021 16:00:00,32.802
19/08/2021 16:15:00,32.854
19/08/2021 16:30:00,32.544
19/08/2021 16:45:00,32.906
19/08/2021 17:00:00,32.492
19/08/2021 17:15:00,31.901
19/08/2021 17:30:00,32.132
19/08/2021 17:45:00,31.722
19/08/2021 18:00:00,30.805
19/08/2021 18:15:00,30.755
19/08/2021 18:30:00,30.679
19/08/2021 18:45:00,30.249
19/08/2021 19:00:00,29.421
19/08/2021 19:15:00,27.585
19/08/2021 19:30:00,26.09
19/08/2021 19:45:00,24.175
19/08/2021 20:00:00,22.613
19/08/2021 20:15:00,21.537
19/08/2021 20:30:00,20.726
19/08/2021 20:45:00,20.297
19/08/2021 21:00:00,19.892
19/08/2021 21:15:00,20.297
19/08/2021 21:30:00,21.298
19/08/2021 21:45:00,20.678
19/08/2021 22:00:00,20.368
19/08/2021 22:15:00,19.107
19/08/2021 22:30:00,18.584
19/08/2021 22:45:00,18.227
19/08/2021 23:00:00,17.894
19/08/2021 23:15:00,17.918
19/08/2021 23:30:00,17.823
