timestamps,Var2
26/08/2021 10:00:00,28.126
26/08/2021 10:15:00,29.307
26/08/2021 10:30:00,28.616
26/08/2021 10:45:00,25.063
26/08/2021 11:00:00,27.049
26/08/2021 11:15:00,25.671
26/08/2021 11:30:00,27.275
26/08/2021 11:45:00,28.123
26/08/2021 12:00:00,29.057
26/08/2021 12:15:00,31.647
26/08/2021 12:30:00,31.225
26/08/2021 12:45:00,30.866
26/08/2021 13:00:00,32.198
26/08/2021 13:15:00,31.805
26/08/2021 13:30:00,29.474
26/08/2021 13:45:00,31.254
26/08/2021 14:00:00,31.026
26/08/2021 14:15:00,31.134
26/08/2021 14:30:00,30.235
26/08/2021 14:45:00,31.18
26/08/2021 15:00:00,30.43
26/08/2021 15:15:00,29.982
26/08/2021 15:30:00,29.798
26/08/2021 15:45:00,30.302
26/08/2021 16:00:00,31.424
26/08/2021 16:15:00,31.241
26/08/2021 16:30:00,30.632
26/08/2021 16:45:00,30.107
26/08/2021 17:00:00,30.147
26/08/2021 17:15:00,30.432
26/08/2021 17:30:00,31.119
26/08/2021 17:45:00,30.447
26/08/2021 18:00:00,30.402
26/08/2021 18:15:00,30.5
26/08/2021 18:30:00,28.546
26/08/2021 18:45:00,27.461
26/08/2021 19:00:00,26.951
26/08/2021 19:15:00,26.231
26/08/2021 19:30:00,25.354
26/08/2021 19:45:00,24.341
26/08/2021 20:00:00,23.225
26/08/2021 20:15:00,22.123
26/08/2021 20:30:00,21.418
26/08/2021 20:45:00,21.272
26/08/2021 21:00:00,21.731
26/08/2021 21:15:00,21.225
26/08/2021 21:30:00,21.038
26/08/2021 21:45:00,20.899
26/08/2021 22:00:00,21.68
26/08/2021 22:15:00,22.835
26/08/2021 22:30:00,22.887
26/08/2021 22:45:00,22.874
26/08/2021 23:00:00,22.748
26/08/2021 23:15:00,22.752
26/08/2021 23:30:00,22.52
26/08/2021 23:45:00,22.573
27/08/2021 00:00:00,22.411
27/08/2021 00:15:00,22.281
27/08/2021 00:30:00,22.218
27/08/2021 00:45:00,21.921
27/08/2021 01:00:00,21.86
27/08/2021 01:15:00,21.488
27/08/2021 01:30:00,21.572
27/08/2021 01:45:00,21.634
27/08/2021 02:00:00,21.315
27/08/2021 02:15:00,21.059
27/08/2021 02:30:00,21.014
27/08/2021 02:45:00,21.208
27/08/2021 03:00:00,21.105
27/08/2021 03:15:00,21.211
27/08/2021 03:30:00,21.167
27/08/2021 03:45:00,20.44
27/08/2021 04:00:00,19.877
27/08/2021 04:15:00,19.795
27/08/2021 04:30:00,19.479
27/08/2021 04:45:00,19.108
27/08/2021 05:00:00,18.809
27/08/2021 05:15:00,18.695
27/08/2021 05:30:00,18.496
27/08/2021 05:45:00,18.273
27/08/2021 06:00:00,18.068
27/08/2021 06:15:00,18.048
27/08/2021 06:30:00,18.256
27/08/2021 06:45:00,18.271
27/08/2021 07:00:00,17.995
27/08/2021 07:15:00,17.709
27/08/2021 07:30:00,17.559
27/08/2021 07:45:00,17.584
27/08/2021 08:00:00,17.602
27/08/2021 08:15:00,17.454
27/08/2021 08:30:00,17.515
27/08/2021 08:45:00,17.662
27/08/2021 09:00:00,17.205
27/08/2021 09:15:00,16.88
27/08/2021 09:30:00,16.397
27/08/2021 09:45:00,16.198
27/08/2021 10:00:00,16.228
27/08/2021 10:15:00,16.156
27/08/2021 10:30:00,16.415
27/08/2021 10:45:00,16.936
27/08/2021 11:00:00,16.762
27/08/2021 11:15:00,17.694
27/08/2021 11:30:00,17.193
27/08/2021 11:45:00,17.788
27/08/2021 12:00:00,19.267
27/08/2021 12:15:00,19.421
27/08/2021 12:30:00,19.921
27/08/2021 12:45:00,21.857
27/08/2021 13:00:00,21.649
27/08/2021 13:15:00,21.61
27/08/2021 13:30:00,20.551
27/08/2021 13:45:00,23.141
27/08/2021 14:00:00,23.148
27/08/2021 14:15:00,23.931
27/08/2021 14:30:00,24.366
27/08/2021 14:45:00,23.8
27/08/2021 15:00:00,24.643
27/08/2021 15:15:00,23.766
27/08/2021 15:30:00,24.875
27/08/2021 15:45:00,25.814
27/08/2021 16:00:00,24.579
27/08/2021 16:15:00,25.407
27/08/2021 16:30:00,26.417
27/08/2021 16:45:00,26.237
27/08/2021 17:00:00,22.329
27/08/2021 17:15:00,24.507
27/08/2021 17:30:00,24.486
27/08/2021 17:45:00,23.399
27/08/2021 18:00:00,25.437
27/08/2021 18:15:00,22.559
27/08/2021 18:30:00,22.158
27/08/2021 18:45:00,22.254
27/08/2021 19:00:00,21.996
27/08/2021 19:15:00,21.518
27/08/2021 19:30:00,20.516
27/08/2021 19:45:00,19.251
27/08/2021 20:00:00,18.687
27/08/2021 20:15:00,17.986
27/08/2021 20:30:00,17.834
27/08/2021 20:45:00,17.978
27/08/2021 21:00:00,17.263
27/08/2021 21:15:00,16.68
27/08/2021 21:30:00,16.421
27/08/2021 21:45:00,16.085
27/08/2021 22:00:00,15.961
27/08/2021 22:15:00,15.783
27/08/2021 22:30:00,15.573
27/08/2021 22:45:00,15.397
27/08/2021 23:00:00,15.109
27/08/2021 23:15:00,14.952
27/08/2021 23:30:00,15.075
27/08/2021 23:45:00,14.901
28/08/2021 00:00:00,15.202
28/08/2021 00:15:00,15.403
28/08/2021 00:30:00,15.491
28/08/2021 00:45:00,15.396
28/08/2021 01:00:00,15.5
28/08/2021 01:15:00,15.466
28/08/2021 01:30:00,14.976
28/08/2021 01:45:00,14.789
28/08/2021 02:00:00,14.295
28/08/2021 02:15:00,13.984
28/08/2021 02:30:00,14.417
28/08/2021 02:45:00,14.623
28/08/2021 03:00:00,14.767
28/08/2021 03:15:00,14.813
28/08/2021 03:30:00,15.19
28/08/2021 03:45:00,15.085
28/08/2021 04:00:00,15.125
28/08/2021 04:15:00,15.44
28/08/2021 04:30:00,15.43
28/08/2021 04:45:00,15.625
28/08/2021 05:00:00,15.624
28/08/2021 05:15:00,15.597
28/08/2021 05:30:00,15.754
28/08/2021 05:45:00,15.7
28/08/2021 06:00:00,15.894
28/08/2021 06:15:00,15.907
28/08/2021 06:30:00,16.015
28/08/2021 06:45:00,16.083
28/08/2021 07:00:00,16.055
28/08/2021 07:15:00,15.953
28/08/2021 07:30:00,15.922
28/08/2021 07:45:00,16.067
28/08/2021 08:00:00,16.012
28/08/2021 08:15:00,16.041
28/08/2021 08:30:00,16.034
28/08/2021 08:45:00,16.129
28/08/2021 09:00:00,16.607
28/08/2021 09:15:00,16.79
28/08/2021 09:30:00,16.799
28/08/2021 09:45:00,17.363
28/08/2021 10:00:00,17.228
28/08/2021 10:15:00,18.494
28/08/2021 10:30:00,25.889
28/08/2021 10:45:00,23.349
28/08/2021 11:00:00,25.113
28/08/2021 11:15:00,24.264
28/08/2021 11:30:00,24.68
28/08/2021 11:45:00,27.293
28/08/2021 12:00:00,27.482
28/08/2021 12:15:00,28.307
28/08/2021 12:30:00,27.517
28/08/2021 12:45:00,28.678
28/08/2021 13:00:00,26.289
28/08/2021 13:15:00,26.306
28/08/2021 13:30:00,25.33
28/08/2021 13:45:00,25.864
28/08/2021 14:00:00,25.81
28/08/2021 14:15:00,25.412
28/08/2021 14:30:00,26.457
28/08/2021 14:45:00,26.352
28/08/2021 15:00:00,26.035
28/08/2021 15:15:00,27.533
28/08/2021 15:30:00,26.048
28/08/2021 15:45:00,27.966
28/08/2021 16:00:00,28.596
28/08/2021 16:15:00,26.39
28/08/2021 16:30:00,26.211
28/08/2021 16:45:00,26.042
28/08/2021 17:00:00,28.493
28/08/2021 17:15:00,27.1
28/08/2021 17:30:00,26.266
28/08/2021 17:45:00,26.98
28/08/2021 18:00:00,26.026
28/08/2021 18:15:00,26.454
28/08/2021 18:30:00,24.329
28/08/2021 18:45:00,23.566
28/08/2021 19:00:00,22.986
28/08/2021 19:15:00,22.265
28/08/2021 19:30:00,20.872
28/08/2021 19:45:00,19.914
28/08/2021 20:00:00,18.754
28/08/2021 20:15:00,17.521
28/08/2021 20:30:00,17.812
28/08/2021 20:45:00,17.135
28/08/2021 21:00:00,16.839
28/08/2021 21:15:00,17.284
28/08/2021 21:30:00,17.406
28/08/2021 21:45:00,17.729
28/08/2021 22:00:00,18.921
28/08/2021 22:15:00,19.243
28/08/2021 22:30:00,18.317
28/08/2021 22:45:00,17.818
28/08/2021 23:00:00,17.193
28/08/2021 23:15:00,16.866
28/08/2021 23:30:00,16.274
28/08/2021 23:45:00,15.955
29/08/2021 00:00:00,15.942
29/08/2021 00:15:00,16.309
29/08/2021 00:30:00,16.353
29/08/2021 00:45:00,16.707
29/08/2021 01:00:00,16.869
29/08/2021 01:15:00,16.134
29/08/2021 01:30:00,15.648
29/08/2021 01:45:00,15.852
29/08/2021 02:00:00,15.609
29/08/2021 02:15:00,15.57
